Tempo: 0.45s	RTT: 64.25ms
Tempo: 5.85s	RTT: 57.64ms
Tempo: 11.33s	RTT: 67.36ms
Tempo: 16.66s	RTT: 47.94ms
Tempo: 22.19s	RTT: 75.93ms
Tempo: 27.56s	RTT: 51.94ms
Tempo: 35.13s	RTT: 366.78ms
Tempo: 44.70s	RTT: 653.06ms
Tempo: 52.26s	RTT: 366.23ms
Tempo: 57.80s	RTT: 77.09ms
Tempo: 63.31s	RTT: 72.50ms
Tempo: 70.91s	RTT: 370.79ms
Tempo: 80.39s	RTT: 640.50ms
Tempo: 92.15s	RTT: 966.24ms
Tempo: 105.89s	RTT: 1247.35ms
Tempo: 121.68s	RTT: 1541.65ms
Tempo: 147.70s	RTT: 3003.37ms
Tempo: 183.89s	RTT: 4454.80ms
Tempo: 226.35s	RTT: 5351.36ms
Tempo: 295.54s	RTT: 9170.22ms
Tempo: 338.57s	RTT: 16243.64ms
